raceId,year,round,circuitId,name,date,time,url,driverId,driverRef,number,code,forename,surname,dob,nationality,driver_url,Car,Warning,Entire Line
1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,https://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix,826,kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat,car 26,collision with car 18,Offence - Car 26 - collision with car 18
1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,https://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,car 7,pit lane speeding,Offence - Car 7 - Pit lane speeding
1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,https://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix,839,ocon,31,OCO,Esteban,Ocon,1996-09-17,French,http://en.wikipedia.org/wiki/Esteban_Ocon,car 31,pit lane speeding,Offence - Car 31 - Pit lane speeding
1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,https://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,842,gasly,10,GAS,Pierre,Gasly,1996-02-07,French,http://en.wikipedia.org/wiki/Pierre_Gasly,car 10,pu elements authorization.,Offence - Car 10 - PU Elements authorization.
1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,https://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,847,russell,63,RUS,George,Russell,1998-02-15,British,http://en.wikipedia.org/wiki/George_Russell_%28racing_driver%29,car 63,failure to respect double yellow flags,Offence - Car 63 - Failure to respect double yellow flags
1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,https://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,846,norris,4,NOR,Lando,Norris,1999-11-13,British,http://en.wikipedia.org/wiki/Lando_Norris,car 4,failure to respect yellow flags at turn 8,Offence - Car 4 - Failure to respect yellow flags at turn 8
1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,https://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,832,sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,car 55,impeding car 11,Offence - Car 55 - Impeding car 11
1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,https://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,844,leclerc,16,LEC,Charles,Leclerc,1997-10-16,Monegasque,http://en.wikipedia.org/wiki/Charles_Leclerc,car 16,pit lane speeding,Offence - Car 16 - Pit lane speeding
1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,https://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,847,russell,63,RUS,George,Russell,1998-02-15,British,http://en.wikipedia.org/wiki/George_Russell_%28racing_driver%29,car 63,pu elements,Offence - Car 63 - PU elements
1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,https://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix,154,grosjean,8,GRO,Romain,Grosjean,1986-04-17,French,http://en.wikipedia.org/wiki/Romain_Grosjean,car 8,leaving the track,Offence - Car 8 - leaving the track
1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,https://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix,832,sainz,55,SAI,Carlos,Sainz,1994-09-01,Spanish,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,car 55,pit lane speeding,Offence - Car 55 - Pit lane speeding
